trans_id,translation,lang
STIB,STIB,fr
STIB,MIVB,nl
https://www.stib-mivb.be,https://www.stib-mivb.be/index.htm?l=fr,fr
https://www.stib-mivb.be,https://www.stib-mivb.be/index.htm?l=nl,nl
ABBAYE,Abbaye,fr
ABBAYE,Abdij,nl
ACACIAS,Acacias,fr
ACACIAS,Acacia,nl
ADEPS,ADEPS,fr
ADEPS,ADEPS,nl
AERODROME,Aérodrome,fr
AERODROME,Vliegveld,nl
ALBERT,Albert,fr
ALBERT,Albert,nl
ALBERT I,Albert I,fr
ALBERT I,Albert I,nl
ALBERT II,Albert II,fr
ALBERT II,Albert II,nl
ALCYONS,Alcyons,fr
ALCYONS,Alcyons,nl
ALMA,Alma,fr
ALMA,Alma,nl
ALPHONSE XIII,Alphonse XIII,fr
ALPHONSE XIII,Alphonse XIII,nl
ALTITUDE CENT,Altitude Cent,fr
ALTITUDE CENT,Hoogte Honderd,nl
AMBIORIX,Ambiorix,fr
AMBIORIX,Ambiorix,nl
AMELIE GOMAND,Amélie Gomand,fr
AMELIE GOMAND,Amélie Gomand,nl
AMETHYSTE,Améthyste,fr
AMETHYSTE,Amethist,nl
AMITIE,Amitié,fr
AMITIE,Vriendschap,nl
ANATOLE FRANCE,Anatole France,fr
ANATOLE FRANCE,Anatole France,nl
ANCIENNE BARRIERE,Ancienne Barrière,fr
ANCIENNE BARRIERE,Oude Afspanning,nl
ANCRE,Ancre,fr
ANCRE,Anker,nl
ANDREE DE JONGH,Andrée De Jongh,fr
ANDREE DE JONGH,Andrée De Jongh,nl
ANDROMEDE,Andromède,fr
ANDROMEDE,Andromeda,nl
ANNECY,Annecy,fr
ANNECY,Annecy,nl
ANNEESSENS,Anneessens,fr
ANNEESSENS,Anneessens,nl
AQUIRIS,Aquiris,fr
AQUIRIS,Aquiris,nl
ARAUCARIA,Araucaria,fr
ARAUCARIA,Araucaria,nl
ARBRE BALLON,Arbre Ballon,fr
ARBRE BALLON,Dikke Beuk,nl
ARBRE UNIQUE,Arbre Unique,fr
ARBRE UNIQUE,Eenboom,nl
ARCADES,Arcades,fr
ARCADES,Arcaden,nl
ARCHIDUCS,Archiducs,fr
ARCHIDUCS,Aartshertogen,nl
ARENBERG,Arenberg,fr
ARENBERG,Arenberg,nl
