stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0089,,"MONTGOMERY",,50.838006,4.408970,,,0,17
0471,,"SIMONIS",,50.863732,4.329236,,,0,53
0472,,"SIMONIS",,50.863543,4.329023,,,0,53
0501,,"DE BROUCKERE",,50.851494,4.352876,,,0,11
0506,,"DE BROUCKERE",,50.851746,4.353415,,,0,11
0511,,"ROGIER",,50.855635,4.358040,,,0,41
0516,,"ROGIER",,50.855933,4.358494,,,0,41
0521,,"GARE DU NORD",,50.860134,4.359946,,,0,61
0526,,"GARE DU NORD",,50.860718,4.360500,,,0,61
0529,,"ROGIER",,50.856232,4.358726,,,0,41
0531,,"GARE DU NORD",,50.860053,4.359662,,,0,61
0520161,,"1 - Gare SNCB",,50.860529,4.359407,,,2,61
0536,,"GARE DU NORD",,50.860763,4.360273,,,0,61
0539,,"ROGIER",,50.856097,4.358569,,,0,41
0601,,"BOURSE",,50.847772,4.348972,,,0,62
0600162,,"1 - Boulevard Anspach",,50.848662,4.350150,,,2,62
0600262,,"2 - Boulevard Anspach",,50.848662,4.350150,,,2,62
0600362,,"3 - Bourse",,50.847655,4.349128,,,2,62
0600462,,"4 - Bourse",,50.847655,4.349128,,,2,62
0600562,,"5 - Boulevard Anspach",,50.847232,4.348688,,,2,62
0600662,,"6 - Boulevard Anspach",,50.847232,4.348688,,,2,62
0600762,,"7 - Boulevard Anspach",,50.847340,4.348419,,,2,62
0600862,,"8 - Boulevard Anspach",,50.847340,4.348419,,,2,62
0600962,,"9 - Bourse",,50.847898,4.349000,,,2,62
0601062,,"10 - Bourse",,50.847898,4.349000,,,2,62
0601162,,"11 - Place de la Bourse",,50.848248,4.349157,,,2,62
0601262,,"12 - Boulevard Anspach",,50.848797,4.349952,,,2,62
0606,,"BOURSE",,50.848086,4.349455,,,0,62
0611,,"ANNEESSENS",,50.844184,4.345254,,,0,63
0610163,,"1 - Place Anneessens",,50.843789,4.345183,,,2,63
0610363,,"3 - Rue de Tournai",,50.843051,4.344558,,,2,63
0610463,,"4 - Boulevard Maurice Lemonnier",,50.843222,4.344132,,,2,63
0610563,,"5 - Place Anneessens",,50.843681,4.344515,,,2,63
0610663,,"6 - Place Anneessens",,50.843905,4.344728,,,2,63
0616,,"ANNEESSENS",,50.844490,4.345736,,,0,63
0610263,,"2 - Place Anneessens",,50.843483,4.344927,,,2,63
0621,,"LEMONNIER",,50.840084,4.341039,,,0,64
0620164,,"1 - Boulevard Maurice Lemonnier",,50.840345,4.341181,,,2,64
0626,,"LEMONNIER",,50.840399,4.341408,,,0,64
0631,,"GARE DU MIDI",,50.836497,4.337946,,,0,
0636,,"GARE DU MIDI",,50.836811,4.337407,,,0,
0702,,"GARE DU MIDI",,50.836353,4.338259,,,0,49
0703,,"PORTE DE HAL",,50.832547,4.342972,,,0,48
0704,,"PARVIS ST-GILLES",,50.829721,4.346537,,,0,65
0650165,,"1 - Parvis de Saint-Gilles",,50.830304,4.344934,,,2,65
0650265,,"2 - Rue Hôtel des Monnaies",,50.829379,4.347021,,,2,65
0705,,"HORTA",,50.825702,4.345490,,,0,66
0660166,,"1 - Chaussée de Waterloo",,50.826439,4.346469,,,2,66
0660266,,"2 - Chaussée de Waterloo",,50.826115,4.345915,,,2,66
