table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,nl,Ingelmunster,,,Ingelmunster
stops,stop_name,de,Ingelmunster,,,Ingelmunster
stops,stop_name,en,Ingelmunster,,,Ingelmunster
stops,stop_name,nl,Izegem,,,Izegem
stops,stop_name,de,Izegem,,,Izegem
stops,stop_name,en,Izegem,,,Izegem
stops,stop_name,nl,Roeselare,,,Roulers
stops,stop_name,de,Roeselare / Roulers,,,Roulers
stops,stop_name,en,Roeselare / Roulers,,,Roulers
stops,stop_name,nl,Poperinge,,,Poperinge
trips,trip_headsign,nl,Poperinge,,,Poperinge
stops,stop_name,de,Poperinge,,,Poperinge
trips,trip_headsign,de,Poperinge,,,Poperinge
stops,stop_name,en,Poperinge,,,Poperinge
trips,trip_headsign,en,Poperinge,,,Poperinge
stops,stop_name,nl,Ieper,,,Ypres
stops,stop_name,de,Ieper / Ypres,,,Ypres
stops,stop_name,en,Ypres / Ieper,,,Ypres
stops,stop_name,nl,Komen,,,Comines
stops,stop_name,de,Komen / Comines,,,Comines
stops,stop_name,en,Comines / Komen,,,Comines
stops,stop_name,nl,Wervik,,,Wervik
stops,stop_name,de,Wervik,,,Wervik
stops,stop_name,en,Wervik,,,Wervik
stops,stop_name,nl,Bissegem,,,Bissegem
stops,stop_name,de,Bissegem,,,Bissegem
stops,stop_name,en,Bissegem,,,Bissegem
stops,stop_name,nl,Wevelgem,,,Wevelgem
stops,stop_name,de,Wevelgem,,,Wevelgem
stops,stop_name,en,Wevelgem,,,Wevelgem
stops,stop_name,nl,Menen,,,Menin
trips,trip_headsign,nl,Menen,,,Menin
stops,stop_name,de,Menen / Menin,,,Menin
trips,trip_headsign,de,Menen / Menin,,,Menin
stops,stop_name,en,Menin / Menen,,,Menin
trips,trip_headsign,en,Menin / Menen,,,Menin
stops,stop_name,nl,Vichte,,,Vichte
stops,stop_name,de,Vichte,,,Vichte
stops,stop_name,en,Vichte,,,Vichte
stops,stop_name,nl,Waregem,,,Waregem
stops,stop_name,de,Waregem,,,Waregem
stops,stop_name,en,Waregem,,,Waregem
stops,stop_name,nl,Harelbeke,,,Harelbeke
stops,stop_name,de,Harelbeke,,,Harelbeke
stops,stop_name,en,Harelbeke,,,Harelbeke
stops,stop_name,nl,Kortrijk,,,Courtrai
trips,trip_headsign,nl,Kortrijk,,,Courtrai
stops,stop_name,de,Kortrijk / Courtrai,,,Courtrai
